,Child,Number,Time,Trial,Shape,Age
0,A,11,30.0,1,Cube,4.67
1,B,9,19.0,1,Cube,5.0
2,C,8,18.6,1,Cube,4.42
3,D,9,23.0,1,Cube,4.33
4,E,10,29.0,1,Cube,4.33
5,F,13,178.0,1,Cube,4.83
6,G,10,42.0,1,Cube,4.42
7,H,7,20.2,1,Cube,5.0
8,I,6,12.0,1,Cube,3.58
9,J,12,39.2,1,Cube,4.0
10,K,6,14.4,1,Cube,4.58
11,L,9,81.4,1,Cube,3.67
12,M,8,17.4,1,Cube,4.83
13,N,7,31.0,1,Cube,4.0
14,O,9,52.2,1,Cube,3.83
15,P,9,41.0,1,Cube,3.83
16,Q,8,18.8,1,Cube,5.08
17,R,7,20.2,1,Cube,4.0
18,S,8,35.0,1,Cube,2.67
19,T,4,24.2,1,Cube,2.67
20,U,8,47.0,1,Cube,3.0
21,V,4,7.4,1,Cube,2.42
22,W,11,54.6,1,Cube,4.17
23,X,7,90.0,1,Cube,4.0
24,Y,5,11.0,1,Cube,3.33
25,A,6,30.0,1,Cylinder,4.67
26,B,4,6.0,1,Cylinder,5.0
27,C,5,14.2,1,Cylinder,4.42
28,D,4,8.2,1,Cylinder,4.33
29,E,6,14.0,1,Cylinder,4.33
30,F,8,52.4,1,Cylinder,4.83
31,G,5,14.0,1,Cylinder,4.42
32,H,6,22.2,1,Cylinder,5.0
33,I,6,16.6,1,Cylinder,3.58
34,J,5,7.8,1,Cylinder,4.0
35,K,5,11.4,1,Cylinder,4.58
36,L,7,30.2,1,Cylinder,3.67
37,M,5,14.4,1,Cylinder,4.83
38,N,6,17.2,1,Cylinder,4.0
39,O,5,15.0,1,Cylinder,3.83
40,P,6,15.4,1,Cylinder,3.83
41,Q,5,10.0,1,Cylinder,5.08
42,R,7,33.8,1,Cylinder,4.0
43,S,5,29.2,1,Cylinder,2.67
44,T,4,32.2,1,Cylinder,2.67
45,U,5,20.6,1,Cylinder,3.0
46,V,3,63.4,1,Cylinder,2.42
47,W,4,6.4,1,Cylinder,4.17
48,X,6,26.2,1,Cylinder,4.0
49,Y,4,11.6,1,Cylinder,3.33
50,A,10,35.0,2,Cube,4.67
51,B,10,28.0,2,Cube,5.0
52,C,7,18.0,2,Cube,4.42
53,D,11,34.8,2,Cube,4.33
54,E,6,16.2,2,Cube,4.33
55,F,13,82.4,2,Cube,4.83
56,G,9,21.6,2,Cube,4.42
57,H,6,16.8,2,Cube,5.0
58,I,6,15.4,2,Cube,3.58
59,J,11,46.4,2,Cube,4.0
60,K,7,28.0,2,Cube,4.58
61,L,9,60.6,2,Cube,3.67
62,M,7,20.2,2,Cube,4.83
63,N,9,63.6,2,Cube,4.0
64,O,9,35.0,2,Cube,3.83
65,P,11,57.0,2,Cube,3.83
66,Q,9,30.0,2,Cube,5.08
67,R,7,17.0,2,Cube,4.0
68,S,5,81.0,2,Cube,2.67
69,T,9,47.0,2,Cube,2.67
70,U,6,17.4,2,Cube,3.0
71,V,5,11.0,2,Cube,2.42
72,W,8,52.0,2,Cube,4.17
73,X,8,40.0,2,Cube,4.0
74,Y,5,9.8,2,Cube,3.33
75,A,8,125.0,2,Cylinder,4.67
76,B,5,14.4,2,Cylinder,5.0
77,C,5,24.0,2,Cylinder,4.42
78,D,6,14.4,2,Cylinder,4.33
79,E,5,15.0,2,Cylinder,4.33
80,F,9,44.6,2,Cylinder,4.83
81,G,5,10.8,2,Cylinder,4.42
82,H,4,18.0,2,Cylinder,5.0
83,I,6,16.0,2,Cylinder,3.58
84,J,8,55.0,2,Cylinder,4.0
85,K,6,19.8,2,Cylinder,4.58
86,L,5,19.8,2,Cylinder,3.67
87,M,6,10.6,2,Cylinder,4.83
88,N,5,17.0,2,Cylinder,4.0
89,O,5,10.0,2,Cylinder,3.83
90,P,5,19.4,2,Cylinder,3.83
91,Q,8,21.0,2,Cylinder,5.08
92,R,6,15.0,2,Cylinder,4.0
93,S,5,36.2,2,Cylinder,2.67
94,T,5,31.4,2,Cylinder,2.67
95,U,4,8.4,2,Cylinder,3.0
96,V,7,7.2,2,Cylinder,2.42
97,W,5,12.0,2,Cylinder,4.17
98,X,5,25.0,2,Cylinder,4.0
99,Y,4,6.0,2,Cylinder,3.33
