,Type,Diam,Time,Price
0,CassDish,10.7,47.65,144.0
1,CassDish,14.0,63.13,215.0
2,CassDish,9.0,58.76,105.0
3,Bowl,8.0,34.88,69.0
4,Dish,10.0,55.53,134.0
5,CassDish,10.5,43.14,129.0
6,Tray,16.0,54.86,155.0
7,Tray,15.0,44.14,99.0
8,Dish,6.5,17.46,38.5
9,Dish,5.0,21.04,36.5
10,Tray,25.0,109.38,260.0
11,Bowl,10.4,17.67,54.0
12,Bowl,7.4,16.41,39.0
13,Bowl,5.4,12.02,29.5
14,CassDish,15.4,49.48,109.0
15,CassDish,12.4,48.74,89.5
16,Bowl,6.0,23.21,42.0
17,Bowl,9.0,28.64,65.0
18,Bowl,9.0,44.95,115.0
19,Plate,12.4,23.77,49.5
20,Bowl,7.5,20.21,36.5
21,Bowl,14.0,32.62,109.0
22,Bowl,7.0,17.84,45.0
23,Bowl,9.0,22.82,58.0
24,Bowl,12.0,29.48,89.0
25,Bowl,5.5,15.61,30.0
26,Bowl,6.0,13.25,31.0
27,Bowl,12.0,45.78,119.0
28,Tray,5.5,26.53,22.0
29,Bowl,14.2,37.11,109.0
30,Dish,11.0,45.12,99.0
31,Plate,16.0,26.09,99.0
32,CassDish,13.5,68.63,179.0
33,Dish,11.1,33.71,99.0
34,Dish,9.8,44.45,89.0
35,Bowl,10.0,23.74,75.0
36,CassDish,13.0,86.42,199.0
37,Bowl,13.0,39.71,93.0
38,Plate,11.7,26.52,65.0
39,Tray,12.3,33.89,74.0
40,Tray,19.5,64.3,165.0
41,Bowl,15.2,22.55,99.0
42,Plate,10.0,31.86,43.5
43,Bowl,11.0,53.18,94.0
44,Tray,17.8,74.48,189.0
45,Tray,11.5,34.16,75.0
46,Tray,12.7,31.46,59.5
47,Bowl,8.0,21.34,42.0
48,Tray,7.5,20.83,23.0
49,Bowl,9.0,20.59,52.5
50,CassDish,14.0,33.7,99.0
51,CassDish,12.4,32.9,89.0
52,Dish,8.8,27.76,65.0
53,Bowl,8.5,30.2,54.5
54,Plate,6.0,20.85,24.5
55,Plate,11.0,26.25,52.0
56,Plate,11.1,21.87,62.5
57,Plate,14.5,23.88,89.0
58,Plate,5.0,16.66,21.5
